,name,display_name,description
0,charengus_homolog_dn,dN with Atlantic herring,
1,sdumerili_homolog_orthology_type,Greater amberjack homology type,
2,anancymaae_homolog_chrom_end,Ma's night monkey chromosome/scaffold end (bp),
3,mochrogaster_homolog_orthology_confidence,"Prairie vole orthology confidence [0 low, 1 high]",
4,external_transcript_source_name,Source of transcript name,
5,umaritimus_homolog_perc_id_r1,%id. query gene identical to target Polar bear gene,
6,tbelangeri_homolog_ensembl_peptide,Tree Shrew protein or transcript stable ID,
7,pnyererei_homolog_orthology_confidence,"Makobe Island cichlid orthology confidence [0 low, 1 high]",
8,structure_3_utr_end,,
9,sformosus_homolog_canonical_transcript_protein,Query protein or transcript ID,
10,cintestinalis_homolog_dn,dN with C.intestinalis,
11,jhyemalis_homolog_dn,dN with Dark-eyed junco,
12,sharrisii_homolog_chrom_end,Tasmanian devil chromosome/scaffold end (bp),
13,snp_som_ensembl_transcript_id,,
14,pcoquereli_homolog_ensembl_peptide,Coquerel's sifaka protein or transcript stable ID,
15,cgpicr_homolog_ds,dS with Chinese hamster PICR,
16,gene3d_end,Gene3D end,
17,cgobio_homolog_canonical_transcript_protein,Query protein or transcript ID,
18,pformosa_homolog_perc_id,%id. target Amazon molly gene identical to query gene,
19,mmurdjan_homolog_goc_score,Pinecone soldierfish Gene-order conservation score,
20,capalliatus_homolog_chrom_end,Angola colobus chromosome/scaffold end (bp),
21,csemilaevis_homolog_wga_coverage,Tongue sole Whole-genome alignment coverage,
22,mmmarmota_homolog_chromosome,Alpine marmot chromosome/scaffold name,
23,choffmanni_homolog_canonical_transcript_protein,Query protein or transcript ID,
24,ppaniscus_homolog_wga_coverage,Bonobo Whole-genome alignment coverage,
25,gagassizii_homolog_associated_gene_name,Agassiz's desert tortoise gene name,
26,ptephrosceles_homolog_wga_coverage,Ugandan red Colobus Whole-genome alignment coverage,
27,fcatus_homolog_chromosome,Cat chromosome/scaffold name,
28,smaximus_homolog_chromosome,Turbot chromosome/scaffold name,
29,scanprosite_start,PROSITE patterns start,
30,rbieti_homolog_dn,dN with Black snub-nosed monkey,
31,mpahari_homolog_ensembl_peptide,Shrew mouse protein or transcript stable ID,
32,rnorvegicus_homolog_canonical_transcript_protein,Query protein or transcript ID,
33,ptroglodytes_homolog_canonical_transcript_protein,Query protein or transcript ID,
34,jjaculus_homolog_dn,dN with Lesser Egyptian jerboa,
35,bbbison_homolog_ensembl_gene,American bison gene stable ID,
36,cabingdonii_homolog_ensembl_peptide,Abingdon island giant tortoise protein or transcript stable ID,
37,cgobio_homolog_dn,dN with Channel bull blenny,
38,cgcrigri_homolog_perc_id,%id. target Chinese hamster CriGri gene identical to query gene,
39,pabelii_homolog_subtype,Last common ancestor with Orangutan,
40,ssalar_homolog_subtype,Last common ancestor with Atlantic salmon,
41,cdromedarius_homolog_chrom_start,Arabian camel chromosome/scaffold start (bp),
42,allele,Variant alleles,Snp Allele
43,cabingdonii_homolog_subtype,Last common ancestor with Abingdon island giant tortoise,
44,affy_hugene_2_0_st_v1,AFFY HuGene 2 0 st v1 probe,
45,tguttata_homolog_perc_id_r1,%id. query gene identical to target Zebra finch gene,
46,psinensis_homolog_goc_score,Chinese softshell turtle Gene-order conservation score,
47,panubis_homolog_ensembl_gene,Olive baboon gene stable ID,
48,cpbellii_homolog_ensembl_gene,Painted turtle gene stable ID,
49,ccanadensis_homolog_orthology_confidence,"American beaver orthology confidence [0 low, 1 high]",
50,uamericanus_homolog_ensembl_peptide,American black bear protein or transcript stable ID,
51,dmelanogaster_homolog_chrom_start,Drosophila melanogaster chromosome/scaffold start (bp),
52,gwilldenowi_homolog_canonical_transcript_protein,Query protein or transcript ID,
53,olhsok_homolog_perc_id,%id. target Japanese medaka HSOK gene identical to query gene,
54,lafricana_homolog_wga_coverage,Elephant Whole-genome alignment coverage,
55,dclupeoides_homolog_ensembl_gene,Denticle herring gene stable ID,
56,acitrinellus_homolog_orthology_confidence,"Midas cichlid orthology confidence [0 low, 1 high]",
57,charengus_homolog_ensembl_gene,Atlantic herring gene stable ID,
58,fheteroclitus_homolog_orthology_confidence,"Mummichog orthology confidence [0 low, 1 high]",
59,saraneus_homolog_ds,dS with Shrew,
60,hhucho_homolog_ensembl_peptide,Huchen protein or transcript stable ID,
61,cjacchus_homolog_chromosome,Marmoset chromosome/scaffold name,
62,cjaponica_homolog_canonical_transcript_protein,Query protein or transcript ID,
63,mmulatta_homolog_dn,dN with Macaque,
64,mfascicularis_homolog_chromosome,Crab-eating macaque chromosome/scaffold name,
65,dordii_homolog_canonical_transcript_protein,Query protein or transcript ID,
66,oaries_homolog_chrom_start,Sheep chromosome/scaffold start (bp),
67,mmurinus_homolog_goc_score,Mouse Lemur Gene-order conservation score,
68,transcript_source,Source (transcript),
69,olhni_homolog_orthology_type,Japanese medaka HNI homology type,
70,bmutus_homolog_chromosome,Wild yak chromosome/scaffold name,
71,rbieti_homolog_chrom_start,Black snub-nosed monkey chromosome/scaffold start (bp),
72,etelfairi_homolog_perc_id,%id. target Lesser hedgehog tenrec gene identical to query gene,
73,cgcrigri_homolog_dn,dN with Chinese hamster CriGri,
74,saurata_homolog_perc_id_r1,%id. query gene identical to target Gilthead seabream gene,
75,clanigera_homolog_chrom_end,Long-tailed chinchilla chromosome/scaffold end (bp),
76,fdamarensis_homolog_associated_gene_name,Damara mole rat gene name,
77,csavignyi_homolog_wga_coverage,C.savignyi Whole-genome alignment coverage,
78,structure_canonical_transcript_id,,
79,homologs_canonical_transcript_id,,
80,pvampyrus_homolog_goc_score,Megabat Gene-order conservation score,
81,cjaponica_homolog_orthology_type,Japanese quail homology type,
82,ppardus_homolog_subtype,Last common ancestor with Leopard,
83,amelanoleuca_homolog_dn,dN with Panda,
84,choffmanni_homolog_associated_gene_name,Sloth gene name,
85,namespace_1003,GO domain,
86,hburtoni_homolog_orthology_confidence,"Burton's mouthbrooder orthology confidence [0 low, 1 high]",
87,3utr,3 UTR only,
88,family_description,Ensembl Family Description,
89,elucius_homolog_subtype,Last common ancestor with Northern pike,
90,affy_hg_u95b,AFFY HG U95B probe,
91,fheteroclitus_homolog_canonical_transcript_protein,Query protein or transcript ID,
92,sequence_gene_chrom_start,,
93,cfamiliaris_homolog_chromosome,Dog chromosome/scaffold name,
94,csabaeus_homolog_canonical_transcript_protein,Query protein or transcript ID,
95,xmaculatus_homolog_wga_coverage,Platyfish Whole-genome alignment coverage,
96,bbbison_homolog_associated_gene_name,American bison gene name,
97,pcoquereli_homolog_ds,dS with Coquerel's sifaka,
98,scerevisiae_homolog_chromosome,Saccharomyces cerevisiae chromosome/scaffold name,
99,gmorhua_homolog_subtype,Last common ancestor with Cod,
100,sldorsalis_homolog_orthology_type,Yellowtail amberjack homology type,
101,lafricana_homolog_dn,dN with Elephant,
102,spunctatus_homolog_canonical_transcript_protein,Query protein or transcript ID,
103,ssalar_homolog_chromosome,Atlantic salmon chromosome/scaffold name,
104,amexicanus_homolog_wga_coverage,Mexican tetra Whole-genome alignment coverage,
105,cdromedarius_homolog_ensembl_gene,Arabian camel gene stable ID,
106,platipinna_homolog_goc_score,Sailfin molly Gene-order conservation score,
107,eaasinus_homolog_ds,dS with Donkey,
108,pcapensis_homolog_orthology_type,Hyrax homology type,
109,mcaroli_homolog_chrom_start,Ryukyu mouse chromosome/scaffold start (bp),
110,mmurdjan_homolog_ensembl_peptide,Pinecone soldierfish protein or transcript stable ID,
111,ttruncatus_homolog_orthology_type,Dolphin homology type,
112,oprinceps_homolog_canonical_transcript_protein,Query protein or transcript ID,
113,pmexicana_homolog_orthology_confidence,"Shortfin molly orthology confidence [0 low, 1 high]",
114,tnigroviridis_homolog_orthology_type,Tetraodon homology type,
115,ggorilla_homolog_ensembl_gene,Gorilla gene stable ID,
116,lchalumnae_homolog_canonical_transcript_protein,Query protein or transcript ID,
117,panubis_homolog_orthology_confidence,"Olive baboon orthology confidence [0 low, 1 high]",
118,rferrumequinum_homolog_associated_gene_name,Greater horseshoe bat gene name,
119,celegans_homolog_perc_id_r1,%id. query gene identical to target Caenorhabditis elegans gene,
120,mdomestica_homolog_subtype,Last common ancestor with Opossum,
121,eaasinus_homolog_associated_gene_name,Donkey gene name,
122,lbergylta_homolog_chromosome,Ballan wrasse chromosome/scaffold name,
123,uniprot_gn_id,UniProtKB Gene Name ID,
124,strain_name,Strain name,
125,pcoquereli_homolog_orthology_type,Coquerel's sifaka homology type,
126,cgcrigri_homolog_ensembl_gene,Chinese hamster CriGri gene stable ID,
127,acchrysaetos_homolog_chromosome,Golden eagle chromosome/scaffold name,
128,amelanoleuca_homolog_ensembl_gene,Panda gene stable ID,
129,minor_allele_freq,Minor allele frequency,
130,catys_homolog_canonical_transcript_protein,Query protein or transcript ID,
131,ccanadensis_homolog_ensembl_gene,American beaver gene stable ID,
132,fheteroclitus_homolog_wga_coverage,Mummichog Whole-genome alignment coverage,
133,choffmanni_homolog_wga_coverage,Sloth Whole-genome alignment coverage,
134,ocuniculus_homolog_ensembl_peptide,Rabbit protein or transcript stable ID,
135,drerio_homolog_perc_id_r1,%id. query gene identical to target Zebrafish gene,
136,choffmanni_homolog_perc_id,%id. target Sloth gene identical to query gene,
137,cldingo_homolog_perc_id,%id. target Dingo gene identical to query gene,
138,ccapucinus_homolog_ensembl_peptide,Capuchin protein or transcript stable ID,
139,ogarnettii_homolog_canonical_transcript_protein,Query protein or transcript ID,
140,ccapucinus_homolog_chromosome,Capuchin chromosome/scaffold name,
141,csemilaevis_homolog_orthology_type,Tongue sole homology type,
142,mfascicularis_homolog_ensembl_gene,Crab-eating macaque gene stable ID,
143,lcalcarifer_homolog_associated_gene_name,Barramundi perch gene name,
144,amelanoleuca_homolog_ensembl_peptide,Panda protein or transcript stable ID,
145,vursinus_homolog_chrom_end,Common wombat chromosome/scaffold end (bp),
146,cabingdonii_homolog_wga_coverage,Abingdon island giant tortoise Whole-genome alignment coverage,
147,enaucrates_homolog_chromosome,Live sharksucker chromosome/scaffold name,
148,mauratus_homolog_orthology_confidence,"Golden Hamster orthology confidence [0 low, 1 high]",
149,cvariegatus_homolog_dn,dN with Sheepshead minnow,
150,sfasciatus_homolog_perc_id,%id. target Jewelled blenny gene identical to query gene,
151,trubripes_homolog_perc_id,%id. target Fugu gene identical to query gene,
152,jhyemalis_homolog_ensembl_peptide,Dark-eyed junco protein or transcript stable ID,
153,catys_homolog_ds,dS with Sooty mangabey,
154,marmatus_homolog_canonical_transcript_protein,Query protein or transcript ID,
155,cgcrigri_homolog_canonical_transcript_protein,Query protein or transcript ID,
156,ecaballus_homolog_chrom_start,Horse chromosome/scaffold start (bp),
157,malbus_homolog_orthology_type,Swamp eel homology type,
158,bgrunniens_homolog_ensembl_gene,Domestic yak gene stable ID,
159,amelanoleuca_homolog_chrom_start,Panda chromosome/scaffold start (bp),
160,rnorvegicus_homolog_subtype,Last common ancestor with Rat,
161,ssalar_homolog_orthology_confidence,"Atlantic salmon orthology confidence [0 low, 1 high]",
162,snp_som_gene_version,,
163,pranga_homolog_chrom_start,Indian glassy fish chromosome/scaffold start (bp),
164,ggorilla_homolog_ensembl_peptide,Gorilla protein or transcript stable ID,
165,itridecemlineatus_homolog_orthology_confidence,"Squirrel orthology confidence [0 low, 1 high]",
166,tbelangeri_homolog_ensembl_gene,Tree Shrew gene stable ID,
167,smaximus_homolog_orthology_confidence,"Turbot orthology confidence [0 low, 1 high]",
168,fdamarensis_homolog_canonical_transcript_protein,Query protein or transcript ID,
169,shabroptila_homolog_perc_id_r1,%id. query gene identical to target Kakapo gene,
170,sharrisii_homolog_goc_score,Tasmanian devil Gene-order conservation score,
171,pcapensis_homolog_chrom_start,Hyrax chromosome/scaffold start (bp),
172,lafricana_homolog_ds,dS with Elephant,
173,transcript_location,Transcript location (bp),Start of Variant on Transcript in Chromosomal Coordinates
174,pmexicana_homolog_goc_score,Shortfin molly Gene-order conservation score,
175,cporosus_homolog_wga_coverage,Australian saltwater crocodile Whole-genome alignment coverage,
176,rnorvegicus_homolog_orthology_type,Rat homology type,
177,mzebra_homolog_orthology_confidence,"Zebra mbuna orthology confidence [0 low, 1 high]",
178,odegus_homolog_goc_score,Degu Gene-order conservation score,
179,ggorilla_homolog_subtype,Last common ancestor with Gorilla,
180,bgrunniens_homolog_canonical_transcript_protein,Query protein or transcript ID,
181,bgrunniens_homolog_dn,dN with Domestic yak,
182,ssalar_homolog_goc_score,Atlantic salmon Gene-order conservation score,
183,bihybrid_homolog_canonical_transcript_protein,Query protein or transcript ID,
184,dnovaehollandiae_homolog_perc_id_r1,%id. query gene identical to target Emu gene,
185,bthybrid_homolog_perc_id_r1,%id. query gene identical to target Hybrid - Bos Taurus gene,
186,oprinceps_homolog_chrom_start,Pika chromosome/scaffold start (bp),
187,lcrocea_homolog_goc_score,Large yellow croaker Gene-order conservation score,
188,smaximus_homolog_orthology_type,Turbot homology type,
189,lbergylta_homolog_orthology_type,Ballan wrasse homology type,
190,dmelanogaster_homolog_ensembl_peptide,Drosophila melanogaster protein or transcript stable ID,
191,atestudineus_homolog_wga_coverage,Climbing perch Whole-genome alignment coverage,
192,sfld_start,SFLD start,
193,csavignyi_homolog_chromosome,C.savignyi chromosome/scaffold name,
194,tmhmm,Transmembrane helices,
195,sformosus_homolog_ds,dS with Asian bonytongue,
196,catys_homolog_perc_id_r1,%id. query gene identical to target Sooty mangabey gene,
197,scanaria_homolog_perc_id,%id. target Common canary gene identical to query gene,
198,mfascicularis_homolog_chrom_end,Crab-eating macaque chromosome/scaffold end (bp),
199,lcanadensis_homolog_chromosome,Canada lynx chromosome/scaffold name,
200,ggorilla_homolog_associated_gene_name,Gorilla gene name,
201,bbbison_homolog_ensembl_peptide,American bison protein or transcript stable ID,
202,somatic_validated,Variant supporting evidence,
203,eelectricus_homolog_chromosome,Electric eel chromosome/scaffold name,
204,cdromedarius_homolog_perc_id,%id. target Arabian camel gene identical to query gene,
205,cgpicr_homolog_associated_gene_name,Chinese hamster PICR gene name,
206,mmmarmota_homolog_goc_score,Alpine marmot Gene-order conservation score,
207,sharrisii_homolog_orthology_confidence,"Tasmanian devil orthology confidence [0 low, 1 high]",
208,hsapiens_paralog_ensembl_gene,Human paralogue gene stable ID,
209,oanatinus_homolog_chrom_start,Platypus chromosome/scaffold start (bp),
210,sequence_cdna_coding_end,cDNA coding end,
211,pmbairdii_homolog_perc_id_r1,%id. query gene identical to target Northern American deer mouse gene,
212,cporosus_homolog_chrom_end,Australian saltwater crocodile chromosome/scaffold end (bp),
213,lsdomestica_homolog_chrom_start,Bengalese finch chromosome/scaffold start (bp),
214,pmbairdii_homolog_chrom_start,Northern American deer mouse chromosome/scaffold start (bp),
215,tgelada_homolog_perc_id_r1,%id. query gene identical to target Gelada gene,
216,catys_homolog_chromosome,Sooty mangabey chromosome/scaffold name,
217,elucius_homolog_chrom_end,Northern pike chromosome/scaffold end (bp),
218,sfld_end,SFLD end,
219,mdomestica_homolog_orthology_type,Opossum homology type,
220,ipunctatus_homolog_orthology_confidence,"Channel catfish orthology confidence [0 low, 1 high]",
221,mlucifugus_homolog_chromosome,Microbat chromosome/scaffold name,
222,gaculeatus_homolog_chrom_end,Stickleback chromosome/scaffold end (bp),
223,drerio_homolog_canonical_transcript_protein,Query protein or transcript ID,
224,hsapiens_paralog_canonical_transcript_protein,Paralogue query protein or transcript ID,
