Histone type,Histone variant,HGNC symbol,NCBI gene ID,Ensembl gene ID,Transcript stable ID,Protein stable ID,RefSeq mRNA ID,RefSeq peptide ID,Protein length
H1,H1.0,H1-0,3005,ENSG00000189060,ENST00000340857,ENSP00000344504,NM_005318,NP_005309,194
H1,H1.1,H1-1,3024,ENSG00000124610,ENST00000244573,ENSP00000244573,NM_005325,NP_005316,215
H1,H1.2,H1-2,3006,ENSG00000187837,ENST00000343677,ENSP00000339566,NM_005319,NP_005310,213
H1,H1.3,H1-3,3007,ENSG00000124575,ENST00000244534,ENSP00000244534,NM_005320,NP_005311,221
H1,H1.4,H1-4,3008,ENSG00000168298,ENST00000304218,ENSP00000307705,NM_005321,NP_005312,219
H1,H1.5,H1-5,3009,ENSG00000184357,ENST00000331442,ENSP00000330074,NM_005322,NP_005313,226
H1,TS H1.6,H1-6,3010,ENSG00000187475,ENST00000338379,ENSP00000341214,NM_005323,NP_005314,207
H1,TS H1.7,H1-7,341567,ENSG00000187166,ENST00000335017,ENSP00000334805,NM_181788,NP_861453,255
H1,OO H1.8,H1-8,132243,ENSG00000178804,ENST00000324382,ENSP00000319799,NM_153833,NP_722575,346
H1,OO H1.8,H1-8,132243,ENSG00000178804,ENST00000503977,ENSP00000422964,NM_001308262,NP_001295191,207
H1,H1.10,H1-10,8971,ENSG00000184897,ENST00000333762,ENSP00000329662,NM_006026,NP_006017,213
H2A,TS H2A.1,H2AC1,221613,ENSG00000164508,ENST00000297012,ENSP00000297012,NM_170745,NP_734466,131
H2A,canonical H2A,H2AC4,8335,ENSG00000278463,ENST00000615868,ENSP00000483842,NM_003513,NP_003504,130
H2A,canonical H2A,H2AC6,8334,ENSG00000180573,ENST00000377791,ENSP00000367022,NM_003512,NP_003503,130
H2A,canonical H2A,H2AC7,3013,ENSG00000196866,ENST00000341023,ENSP00000341094,NM_021065,NP_066409,130
H2A,canonical H2A,H2AC12,85235,ENSG00000274997,ENST00000377459,ENSP00000366679,NM_080596,NP_542163,128
H2A,canonical H2A,H2AC13,8329,ENSG00000196747,ENST00000358739,ENSP00000351589,NM_003509,NP_003500,130
H2A,canonical H2A,H2AC14,8331,ENSG00000276368,ENST00000333151,ENSP00000328484,NM_021066,NP_066544,128
H2A,canonical H2A,H2AC19,723790,ENSG00000272196,ENST00000607355,ENSP00000475814,NM_001040874,NP_001035807,130
H2A,canonical H2A,H2AC20,8338,ENSG00000184260,ENST00000331380,ENSP00000332194,NM_003517,NP_003508,129
H2A,canonical H2A,H2AC21,317772,ENSG00000184270,ENST00000331128,ENSP00000332790,NM_175065,NP_778235,130
H2A,H2A.J(?),H2AJ,55766,ENSG00000246705,ENST00000544848,ENSP00000438553,NM_177925,NP_808760,129
H2A,canonical H2A,H2AW,92815,ENSG00000181218,ENST00000366695,ENSP00000355656,NM_033445,NP_254280,130
H2A,H2A.X,H2AX,3014,ENSG00000188486,ENST00000530167,ENSP00000434024,NM_002105,NP_002096,143
H2A,H2A.Z.1,H2AZ1,3015,ENSG00000164032,ENST00000651623,ENSP00000498935,,,127
H2A,H2A.Z.1,H2AZ1,3015,ENSG00000164032,ENST00000296417,ENSP00000296417,NM_002106,NP_002097,128
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000222690,ENSP00000222690,NM_138635,NP_619541,114
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000437072,ENSP00000397115,,,76
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000349299,ENSP00000342714,NM_201517,NP_958925,90
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000308153,ENSP00000308405,NM_012412,NP_036544,128
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000350771,ENSP00000340708,NM_201436,NP_958844,102
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000381124,ENSP00000370516,NM_201516,NP_958924,66
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000521529,ENSP00000430492,,,40
H2A,H2A.Z.2,H2AZ2,94239,ENSG00000105968,ENST00000446531,ENSP00000406901,,,122
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000511689,ENSP00000423563,NM_138610,NP_613258,372
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000304332,ENSP00000302572,NM_001040158,NP_001035248,371
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000312469,ENSP00000310169,NM_138609,NP_613075,369
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000423969,ENSP00000415121,,,200
H2A,macroH2A.2,MACROH2A2,55506,ENSG00000099284,ENST00000373255,ENSP00000362352,NM_018649,NP_061119,372
H2A,macroH2A.2,MACROH2A2,55506,ENSG00000099284,ENST00000455786,ENSP00000404584,,,242
H2A,H2A.B.1,H2AB1,474382,ENSG00000274183,ENST00000620016,ENSP00000484261,NM_001017990,NP_001017990,115
H2A,H2A.B.1,H2AB2,474381,ENSG00000277858,ENST00000354514,ENSP00000346509,NM_001017991,NP_001017991,115
H2A,H2A.P,H2AP,25763,ENSG00000187516,ENST00000341016,ENSP00000339511,NM_012274,NP_036406,117
H2B,TS H2B.1,H2BC1,255626,ENSG00000146047,ENST00000274764,ENSP00000274764,NM_170610,NP_733759,127
H2B,canonical H2B,H2BC3,3018,ENSG00000276410,ENST00000615966,ENSP00000482674,NM_021062,NP_066406,126
H2B,canonical H2B,H2BC5,3017,ENSG00000158373,ENST00000377777,ENSP00000367008,NM_021063,NP_066407,126
H2B,canonical H2B,H2BC9,8345,ENSG00000275713,ENST00000619466,ENSP00000479169,NM_003524,NP_003515,126
H2B,canonical H2B,H2BC10,8346,ENSG00000273802,ENST00000541790,ENSP00000445633,NM_003518,NP_003509,126
H2B,canonical H2B,H2BC11,8970,ENSG00000124635,ENST00000606923,ENSP00000475213,,,21
H2B,canonical H2B,H2BC11,8970,ENSG00000124635,ENST00000339812,ENSP00000342886,NM_021058,NP_066402,126
H2B,canonical H2B,H2BC12,85236,ENSG00000197903,ENST00000356950,ENSP00000349430,NM_080593,NP_001299582,126
H2B,canonical H2B,H2BC13,8340,ENSG00000185130,ENST00000377401,ENSP00000366618,NM_003519,NP_003510,126
H2B,canonical H2B,H2BC14,8342,ENSG00000273703,ENST00000621112,ENSP00000477907,NM_003521,NP_003512,126
H2B,canonical H2B,H2BC15,8341,ENSG00000233822,ENST00000612898,ENSP00000483903,NM_003520,NP_003511,126
H2B,canonical H2B,H2BC15,8341,ENSG00000233822,ENST00000606613,ENSP00000475942,,,166
H2B,canonical H2B,H2BC17,8348,ENSG00000274641,ENST00000616182,ENSP00000477527,NM_003527,NP_003518,126
H2B,canonical H2B,H2BC18,440689,ENSG00000203814,ENST00000369167,ENSP00000358164,NM_001024599,NP_001019770,126
H2B,canonical H2B,H2BC18,440689,ENSG00000203814,ENST00000545683,ENSP00000445831,NM_001161334,NP_001154806,134
H2B,canonical H2B(?),H2BC21,8349,ENSG00000184678,ENST00000369155,ENSP00000358151,NM_003528,NP_003519,126
H2B,H2B.S(?),H2BS1,54145,ENSG00000234289,ENST00000599962,ENSP00000481622,NM_017445,NP_059141,126
H2B,canonical H2B(?),H2BU1,128312,ENSG00000196890,ENST00000620438,ENSP00000479284,NM_175055,NP_778225,126
H2B,H2B.W,H2BW1,158983,ENSG00000123569,ENST00000217926,ENSP00000354723,NM_001002916,NP_001002916,175
H2B,?,H2BW2,286436,ENSG00000101812,ENST00000355016,ENSP00000347119,NM_001164416,NP_001157888,154
H2B,?,H2BW2,286436,ENSG00000101812,ENST00000417637,ENSP00000402466,,,52
H2B,?,H2BE1,114483833,ENSG00000285480,ENST00000644661,ENSP00000495192,NM_001369125,NP_001356054,122
H3,canonical H3.1,H3C1,8350,ENSG00000275714,ENST00000613854,ENSP00000480826,NM_003529,NP_003520,136
H3,canonical H3.1,H3C15,333932,ENSG00000203852,ENST00000403683,ENSP00000385479,NM_001005464,NP_001005464,136
H3,H3.Y.1,H3Y1,391769,ENSG00000269466,ENST00000598383,ENSP00000496014,NM_001355258,NP_001342187,136
H3,H3.Y.2,H3Y2,340096,ENSG00000268799,ENST00000600799,ENSP00000497053,NM_001371919,NP_001358848,147
H3,canonical H3(?),H3-2,440686,ENSG00000273213,ENST00000609879,ENSP00000499501,NM_001355409,NP_001342338,136
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366814,ENSP00000355779,,,123
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366815,ENSP00000355780,NM_002107,NP_002098,136
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000667897,ENSP00000499446,,,120
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000592643,ENSP00000467165,,,113
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000591890,ENSP00000466663,,,92
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000586270,ENSP00000465403,,,132
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000587171,ENSP00000468484,,,151
H3,TS H3.4,H3-4,8290,ENSG00000168148,ENST00000366696,ENSP00000355657,NM_003493,NP_003484,136
H3,H3.5,H3-5,440093,ENSG00000188375,ENST00000340398,ENSP00000339835,NM_001013699,NP_001013721,135
H3,cenH3,CENPA,1058,ENSG00000115163,ENST00000335756,ENSP00000336868,NM_001809,NP_001800,140
H3,cenH3,CENPA,1058,ENSG00000115163,ENST00000233505,ENSP00000233505,NM_001042426,NP_001035891,114
H4,canonical H4,H4C7,8369,ENSG00000275663,ENST00000611444,ENSP00000477870,NM_003547,NP_003538,98
H4,canonical H4,H4C15,554313,ENSG00000270276,ENST00000579512,ENSP00000462355,NM_001034077,NP_001029249,103
